,Year,Term Number,Department,Course Number,Number of Sections,Enrollments,Median GPA Points,Average Section Size
1402,2022.0,,MUS,8.0,,35.0,4.0,35.0
1403,2022.0,2.0,MUS,3.06,1.0,27.0,4.0,27.0
1404,2022.0,2.0,MUS,,1.0,31.0,4.0,31.0
1405,2022.0,2.0,MUS,70.0,1.0,14.0,4.0,14.0
1406,2022.0,2.0,MUS,71.0,1.0,14.0,4.0,14.0
1407,2022.0,2.0,MUS,87.0,,14.0,4.0,14.0
1408,2022.0,2.0,MUS,14.04,1.0,31.0,4.0,31.0
1409,2022.0,2.0,MUS,17.06,1.0,30.0,4.0,30.0
1410,,2.0,MUS,30.02,1.0,14.0,4.0,
1411,2022.0,2.0,MUS,53.03,1.0,19.0,3.666666666666666,19.0
1412,2022.0,2.0,MUS,56.03,1.0,23.0,,23.0
1413,2022.0,2.0,MUS,,1.0,18.0,4.0,18.0
1414,2022.0,2.0,NAS,8.0,1.0,,4.0,30.0
1415,2022.0,2.0,NAS,15.0,1.0,15.0,3.6666666666666665,
1416,2022.0,2.0,NAS,16.0,1.0,,3.6666666666666665,16.0
1417,2022.0,2.0,NAS,18.0,1.0,17.0,4.0,
1418,2022.0,,NAS,35.0,1.0,44.0,,44.0
1419,2022.0,2.0,NAS,50.0,1.0,,3.6666666666666665,42.0
1420,2022.0,2.0,NAS,7.07,1.0,15.0,4.0,15.0
1421,2022.0,2.0,NAS,30.21,1.0,,3.6666666666666665,27.0
1422,2022.0,2.0,NAS,30.24,1.0,27.0,,27.0
1423,,2.0,NAS,30.25,1.0,15.0,4.0,15.0
1424,2022.0,2.0,NAS,81.04,1.0,14.0,4.0,14.0
1425,2022.0,2.0,PBPL,28.0,1.0,31.0,3.333333333333333,31.0
1426,,2.0,PBPL,40.0,1.0,28.0,3.333333333333333,
1427,2022.0,2.0,PBPL,41.0,1.0,20.0,4.0,20.0
1428,2022.0,2.0,PBPL,84.04,1.0,,3.6666666666666665,17.0
1429,2022.0,2.0,PHIL,6.0,1.0,,3.5,12.0
1430,2022.0,2.0,PHIL,8.0,1.0,33.0,3.6666666666666665,
1431,2022.0,2.0,PHIL,1.13,1.0,17.0,4.0,17.0
1432,,2.0,PHIL,12.0,1.0,12.0,4.0,12.0
1433,2022.0,2.0,PHIL,24.0,1.0,25.0,4.0,25.0
1434,2022.0,2.0,PHIL,30.0,1.0,13.0,4.0,13.0
1435,2022.0,2.0,PHIL,34.0,1.0,14.0,4.0,14.0
1436,,2.0,PHIL,9.02,1.0,27.0,3.6666666666666665,27.0
1437,2022.0,2.0,,19.04,1.0,11.0,4.0,11.0
1438,2022.0,,PHIL,31.09,1.0,11.0,4.0,11.0
1439,2022.0,2.0,PHIL,80.26,,11.0,4.0,11.0
1440,2022.0,2.0,PHYS,1.0,1.0,34.0,4.0,34.0
1441,2022.0,2.0,PHYS,2.0,1.0,115.0,4.0,
1442,2022.0,2.0,PHYS,,1.0,39.0,3.333333333333333,39.0
1443,2022.0,2.0,PHYS,14.0,2.0,140.0,3.0,70.0
1444,2022.0,2.0,PHYS,40.0,1.0,16.0,3.6666666666666665,16.0
1445,2022.0,2.0,PHYS,50.0,1.0,11.0,3.666666666666666,11.0
1446,2022.0,,PHYS,7.08,1.0,16.0,4.0,16.0
1447,2022.0,2.0,PHYS,76.0,1.0,16.0,4.0,
1448,2022.0,2.0,PSYC,1.0,1.0,65.0,3.6666666666666665,65.0
1449,2022.0,2.0,PSYC,10.0,1.0,46.0,3.333333333333333,46.0
